Texture,Experiments,Avg Matches,Avg Euc Mean,Avg Euc Std,Avg Euc Min,Avg Euc Max
sinusoid,11,346.09090909090907,13.266093198971104,8.191693742561178,1.4142135623730954,32.87737982503089
colonies,11,1.9090909090909092,89.77062159168342,71.78873972609107,1.883161512919897,224.65039589703412
linear,11,307.72727272727275,39.592746312833135,39.231990986315594,1.4142135623730954,150.08673851029133
olympic,11,118.81818181818181,29.493508360254193,19.946070732588122,1.4142135623730954,69.36134690217915
oval,8,1507.0,5.809157470871501,3.3761336283554213,1.4142135623730951,14.61159676732181
