roi_id,score,intensity_score,attention_score,num_nodes,num_edges,x,y,z
ROI_1,0.6836108267307281,0.3672216534614563,1.0,30,0,68.0,118.0,0.0
ROI_2,0.6592250019311905,0.318450003862381,1.0,1,0,118.0,44.0,84.0
ROI_3,0.5872749984264374,0.17454999685287476,1.0,1,0,1110.0,408.0,38.0
ROI_4,0.45991250872612,0.41982501745224,0.5,2,2,506.0,284.0,130.0
