roi_id,score,intensity_score,attention_score,num_nodes,num_edges,x,y,z
ROI_1,0.6608999967575073,0.32179999351501465,1.0,1,0,820.0,402.0,88.0
ROI_2,0.6403499990701675,0.2806999981403351,1.0,1,0,1250.0,485.0,101.0
ROI_3,0.6221249997615814,0.24424999952316284,1.0,1,0,513.0,165.0,103.0
ROI_4,0.5595999993383884,0.11919999867677689,1.0,1,0,324.0,130.0,30.0
