Scale Name,5,10,15,20,25,30,35,40,50
2x2y2z,0.88,0.89,0.9,0.9,0.92,0.9500000000000001,0.97,0.98,0.99
3x2y1z,0.83,0.8399999999999999,0.85,0.85,0.8599999999999999,0.87,0.89,0.89,0.89
original,0.91,0.9,0.94,0.9500000000000001,0.9500000000000001,0.98,0.99,0.99,1.0
